C_in,C_out,Tile,Fused,MultiCore,Mean_Latency_ms,StdDev_ms,Conf_Interval_95,P_Value_vs_Baseline
32,32,"F(2,3)",False,False,2.946766500972444,0.049944323806258066,0.0030955812607250145,1.0
32,32,"F(2,3)",False,True,4.0875677980002365,0.3120412163821648,0.019340514965294906,0.0
32,32,"F(2,3)",True,False,9.877737505990808,0.9296375075740834,0.05761952967622027,0.0
32,32,"F(2,3)",True,True,11.344169613994382,1.031086935714741,0.06390743037704304,0.0
32,128,"F(2,3)",False,False,7.246113072005755,0.4122008143998791,0.025548471166847022,1.0
32,128,"F(2,3)",False,True,4.769180599008905,0.5300068372199047,0.032850164109109264,0.0
32,128,"F(2,3)",True,False,11.30237053302153,0.743783534295856,0.04610018106829539,0.0
32,128,"F(2,3)",True,True,11.959914576982555,0.7059571215894099,0.043755675718923685,0.0
128,32,"F(2,3)",False,False,7.022482956026579,0.3321176503089212,0.020584865231942504,1.0
128,32,"F(2,3)",False,True,4.874900500997683,0.44416071192556633,0.027529366138195347,0.0
128,32,"F(2,3)",True,False,11.560134244034998,0.9987996510923797,0.061906243743214726,0.0
128,32,"F(2,3)",True,True,12.38965391099373,1.9476164576790684,0.12071451868801793,0.0
128,128,"F(2,3)",False,False,21.160353217017473,0.9634993882803692,0.05971831078644025,1.0
128,128,"F(2,3)",False,True,7.969035168967821,0.9811677925289114,0.06081340982734164,0.0
128,128,"F(2,3)",True,False,17.49112670303839,0.9920588369877952,0.06148844375647092,0.0
128,128,"F(2,3)",True,True,12.67211681099252,1.195084361412635,0.07407209613099067,0.0
