Platform,CPU_Model,L1D_Bytes,L2_Bytes,Workload,Candidate_Tiles,Selected_Tile,Alpha,Target_Cache,Estimated_Working_Set_Bytes,Reuse_Score
Darwin,arm,65536,4194304,"C_in=16, C_out=32","4, 6, 8",6,0.7,65536,41760,1.5657
Darwin,arm,65536,4194304,"C_in=32, C_out=64","4, 6, 8",4,0.7,65536,35968,0.911
Darwin,arm,65536,4194304,"C_in=16, C_out=32","4, 6, 8",6,0.7,65536,41760,1.5657
Darwin,arm,65536,4194304,"C_in=32, C_out=64","4, 6, 8",4,0.7,65536,35968,0.911
Darwin,arm,65536,4194304,"C_in=16, C_out=32","4, 6, 8",6,0.7,65536,41760,1.5657
Darwin,arm,65536,4194304,"C_in=32, C_out=64","4, 6, 8",4,0.7,65536,35968,0.911
Darwin,arm,65536,4194304,"C_in=16, C_out=32","4, 6, 8",6,0.7,65536,41760,1.5657
Darwin,arm,65536,4194304,"C_in=32, C_out=64","4, 6, 8",4,0.7,65536,35968,0.911
Darwin,arm,65536,4194304,"C_in=16, C_out=32","4, 6, 8",6,0.7,65536,41760,1.5657
Darwin,arm,65536,4194304,"C_in=16, C_out=32","4, 6, 8",6,0.7,65536,41760,1.5657
Darwin,arm,65536,4194304,"C_in=32, C_out=16","4, 6, 8",4,0.7,65536,35968,0.2278
Darwin,arm,65536,4194304,"C_in=16, C_out=32","4, 6, 8",6,0.7,65536,41760,1.5657
Darwin,arm,65536,4194304,"C_in=32, C_out=16","4, 6, 8",4,0.7,65536,35968,0.2278
Darwin,arm,65536,4194304,"C_in=32, C_out=32","4, 6, 8",4,0.7,65536,35968,0.4555
Darwin,arm,65536,4194304,"C_in=32, C_out=64","4, 6, 8",4,0.7,65536,35968,0.911
Darwin,arm,65536,4194304,"C_in=64, C_out=32","4, 6, 8",4,0.7,65536,70784,0.2315
Darwin,arm,65536,4194304,"C_in=64, C_out=64","4, 6, 8",4,0.7,65536,70784,0.4629
Darwin,arm,65536,4194304,"C_in=128, C_out=128","4, 6, 8",4,0.7,65536,140416,0.4667
